key,manufacturer,ID,type,V,k_t,R,L,mass,inertia,omega_nl,I_nl,max_int_torque,max_int_speed,max_cont_speed,max_cont_power,coulomb_friction,viscous_friction,Rth1,Rth2
AM_MF0076008_48V,Allied_Motion,MF0076008_48V,BLDC,48,0.1,0.92,0.00031,0.2,0.000051,445,,4,inf,inf,inf,,,2.8,
AM_MF0076008_150V,Allied_Motion,MF0076008_150V,BLDC,150,0.26,5.5,0.00197,0.2,0.0001,550,,4,inf,inf,inf,,,2.45,
AM_MF0076008_300V,Allied_Motion,MF0076008_300V,BLDC,300,0.42,14.23,0.005322,0.19,0.00015,675,,4,inf,inf,inf,,,2.17,
AM_MF0076020_48V,Allied_Motion,MF0076020_48V,BLDC,48,0.14,0.6,0.00028,0.42,0.0001,330,,11,inf,inf,inf,,,2.45,
AM_MF0076020_150V,Allied_Motion,MF0076020_150V,BLDC,150,0.33,2.78,0.00157,0.43,0.0001,437,,13,inf,inf,inf,,,2.45,
AM_MF0076020_300V,Allied_Motion,MF0076020_300V,BLDC,300,0.5,6.31,0.00373,0.42,0.0001,567,,13,inf,inf,inf,,,2.45,
AM_MF0076032_48V,Allied_Motion,MF0076032_48V,BLDC,48,0.21,0.71,0.00043,0.65,0.00015,220,,14,inf,inf,inf,,,2.17,
AM_MF0076032_150V,Allied_Motion,MF0076032_150V,BLDC,150,0.42,3.08,0.00174,0.64,0.00015,344,,20,inf,inf,inf,,,2.17,
AM_MF0076032_300V,Allied_Motion,MF0076032_300V,BLDC,300,0.63,6.24,0.00391,0.64,0.00015,459,,21,inf,inf,inf,,,2.17,
AM_MF0076044_48V,Allied_Motion,MF0076044_48V,BLDC,48,0.21,0.5,0.00031,0.86,0.0002,213,,21,inf,inf,inf,,,1.94,
AM_MF0076044_150V,Allied_Motion,MF0076044_150V,BLDC,150,0.48,2.19,0.00155,0.87,0.00025,296,,24,inf,inf,inf,,,1.74,
AM_MF0076044_300V,Allied_Motion,MF0076044_300V,BLDC,300,0.77,5.44,0.00403,0.87,0.0002,368,,24,inf,inf,inf,,,1.94,
AM_MF0076056_48V,Allied_Motion,MF0076056_48V,BLDC,48,0.27,0.6,0.00039,1.08,0.00025,172,,21,inf,inf,inf,,,1.74,
AM_MF0076056_150V,Allied_Motion,MF0076056_150V,BLDC,150,0.53,2.35,0.00155,1.08,0.00025,268,,30,inf,inf,inf,,,1.74,
AM_MF0076056_300V,Allied_Motion,MF0076056_300V,BLDC,300,0.8,4.83,0.00348,1.08,0.00025,358,,30,inf,inf,inf,,,1.74,
AM_MF0255010_48V,Allied_Motion,MF0255010_48V,BLDC,48,0.534,0.197,0.000669,2.33,0.0036,84,,72.3,inf,inf,inf,,,0.9,
AM_MF0255010_150V,Allied_Motion,MF0255010_150V,BLDC,150,0.934,0.605,0.002048,2.33,0.0094,151,,72.3,inf,inf,inf,,,0.62,
AM_MF0255010_300V,Allied_Motion,MF0255010_300V,BLDC,300,1.689,2.158,0.006708,2.27,0.019,167,,72.3,inf,inf,inf,,,0.395,
AM_MF0255025_48V,Allied_Motion,MF0255025_48V,BLDC,48,0.835,0.11,0.000538,5.57,0.0094,54,,194,inf,inf,inf,,,0.62,
AM_MF0255025_150V,Allied_Motion,MF0255025_150V,BLDC,150,1.433,0.307,0.001581,5.53,0.0094,99,,194,inf,inf,inf,,,0.62,
AM_MF0255025_300V,Allied_Motion,MF0255025_300V,BLDC,300,2.507,0.991,0.004842,5.48,0.0094,113,,194,inf,inf,inf,,,0.62,
AM_MF0255050_48V,Allied_Motion,MF0255050_48V,BLDC,48,1.26,0.087,0.000521,10.47,0.019,36,,398,inf,inf,inf,,,0.395,
AM_MF0255050_150V,Allied_Motion,MF0255050_150V,BLDC,150,2.016,0.216,0.001333,10.51,0.019,69,,398,inf,inf,inf,,,0.395,
AM_MF0255050_300V,Allied_Motion,MF0255050_300V,BLDC,300,3.276,0.517,0.003521,10.51,0.019,86,,398,inf,inf,inf,,,0.395,
AM_MF0255075_48V,Allied_Motion,MF0255075_48V,BLDC,48,1.509,0.076,0.000493,16.26,0.028,29,,578,inf,inf,inf,,,0.293,
AM_MF0255075_150V,Allied_Motion,MF0255075_150V,BLDC,150,2.6,0.63,0.001108,15.43,0.038,61,,578,inf,inf,inf,,,0.235,
AM_MF0255075_300V,Allied_Motion,MF0255075_300V,BLDC,300,3.396,0.379,0.002494,15.53,0.028,81,,578,inf,inf,inf,,,0.293,
AM_MF0255100_48V,Allied_Motion,MF0255100_48V,BLDC,48,1.505,0.055,0.000366,20.44,0.038,30,,703,inf,inf,inf,,,0.235,
AM_MF0255100_150V,Allied_Motion,MF0255100_150V,BLDC,150,2.508,0.15,0.001016,20.49,0.038,56,,703,inf,inf,inf,,,0.235,
AM_MF0255100_300V,Allied_Motion,MF0255100_300V,BLDC,300,3.512,0.304,0.001991,20.41,0.038,81,,703,inf,inf,inf,,,0.235,
AM_MF0150010_48V,Allied_Motion,MF0150010_48V,BLDC,48,0.343,0.584,0.00125,1.2,0.00048,133,,17.8,inf,inf,inf,,,1.25,
AM_MF0150010_150V,Allied_Motion,MF0150010_150V,BLDC,150,0.698,2.525,0.00524,1.2,0.0013,204,,17.8,inf,inf,inf,,,0.85,
AM_MF0150010_300V,Allied_Motion,MF0150010_300V,BLDC,300,1.087,5.93,0.01271,1.21,0.0025,262,,17.8,inf,inf,inf,,,0.7,
AM_MF0150025_48V,Allied_Motion,MF0150025_48V,BLDC,48,0.382,0.154,0.00054,3.05,0.0013,119,,46.5,inf,inf,inf,,,0.85,
