key,manufacturer,ID,type,stages,ratio,mass,inertia,efficiency,direction,max_int_torque,max_cont_torque
FH_42GPT_R3.6:1,Faulhaber,42GPT_R3.6:1,planetary,1,3.6,0.31,2.0000000000000003e-06,0.93,1.0,3.3,2.5
FH_42GPT_R4.5:1,Faulhaber,42GPT_R4.5:1,planetary,1,4.5,0.31,2.0000000000000003e-06,0.93,1.0,3.3,2.5
FH_42GPT_R6.6:1,Faulhaber,42GPT_R6.6:1,planetary,1,6.6,0.31,2.0000000000000003e-06,0.93,1.0,3.3,2.5
FH_42GPT_R9:1,Faulhaber,42GPT_R9:1,planetary,1,9.0,0.31,1.3300000000000002e-06,0.93,1.0,3.3,2.5
FH_42GPT_R11:1,Faulhaber,42GPT_R11:1,planetary,2,11.0,0.42,2.0000000000000003e-06,0.86,1.0,9.0,7.0
FH_42GPT_R14:1,Faulhaber,42GPT_R14:1,planetary,2,14.0,0.42,2.0000000000000003e-06,0.86,1.0,9.0,7.0
FH_42GPT_R16:1,Faulhaber,42GPT_R16:1,planetary,2,16.0,0.42,2.0000000000000003e-06,0.86,1.0,9.0,7.0
FH_42GPT_R20:1,Faulhaber,42GPT_R20:1,planetary,2,20.0,0.42,2.0000000000000003e-06,0.86,1.0,9.0,7.0
FH_42GPT_R41:1,Faulhaber,42GPT_R41:1,planetary,2,41.0,0.42,9.2e-07,0.86,1.0,9.0,7.0
FH_42GPT_R49:1,Faulhaber,42GPT_R49:1,planetary,2,49.0,0.42,9.2e-07,0.86,1.0,9.0,7.0
FH_42GPT_R59:1,Faulhaber,42GPT_R59:1,planetary,2,59.0,0.42,9.2e-07,0.86,1.0,9.0,7.0
FH_42GPT_R24:1,Faulhaber,42GPT_R24:1,planetary,2,24.0,0.42,9.2e-07,0.86,1.0,9.0,7.0
FH_42GPT_R30:1,Faulhaber,42GPT_R30:1,planetary,2,30.0,0.42,9.2e-07,0.86,1.0,9.0,7.0
FH_42GPT_R44:1,Faulhaber,42GPT_R44:1,planetary,2,44.0,0.42,9.2e-07,0.86,1.0,9.0,7.0
FH_42GPT_R178:1,Faulhaber,42GPT_R178:1,planetary,3,178.0,0.53,9.2e-07,0.8,1.0,20.0,15.5
FH_42GPT_R215:1,Faulhaber,42GPT_R215:1,planetary,3,215.0,0.53,9.2e-07,0.8,1.0,20.0,15.5
FH_42GPT_R267:1,Faulhaber,42GPT_R267:1,planetary,3,267.0,0.53,9.2e-07,0.8,1.0,20.0,15.5
FH_42GPT_R72:1,Faulhaber,42GPT_R72:1,planetary,3,72.0,0.53,9.2e-07,0.8,1.0,20.0,15.5
FH_42GPT_R89:1,Faulhaber,42GPT_R89:1,planetary,3,89.0,0.53,9.2e-07,0.8,1.0,20.0,15.5
FH_42GPT_R108:1,Faulhaber,42GPT_R108:1,planetary,3,108.0,0.53,9.2e-07,0.8,1.0,20.0,15.5
FH_42GPT_R131:1,Faulhaber,42GPT_R131:1,planetary,3,131.0,0.53,9.2e-07,0.8,1.0,20.0,15.5
FH_42GPT_R158:1,Faulhaber,42GPT_R158:1,planetary,3,158.0,0.53,9.2e-07,0.8,1.0,20.0,15.5
FH_42GPT_R196:1,Faulhaber,42GPT_R196:1,planetary,3,196.0,0.53,9.2e-07,0.8,1.0,20.0,15.5
FH_42GPT_R711:1,Faulhaber,42GPT_R711:1,planetary,4,711.0,0.64,4e-07,0.74,1.0,25.0,18.0
FH_42GPT_R1042:1,Faulhaber,42GPT_R1042:1,planetary,4,1042.0,0.64,4e-07,0.74,1.0,25.0,18.0
FH_42GPT_R1294:1,Faulhaber,42GPT_R1294:1,planetary,4,1294.0,0.64,4e-07,0.74,1.0,25.0,18.0
FH_42GPT_R323:1,Faulhaber,42GPT_R323:1,planetary,4,323.0,0.64,4e-07,0.74,1.0,25.0,18.0
FH_42GPT_R401:1,Faulhaber,42GPT_R401:1,planetary,4,401.0,0.64,4e-07,0.74,1.0,25.0,18.0
FH_42GPT_R474:1,Faulhaber,42GPT_R474:1,planetary,4,474.0,0.64,4e-07,0.74,1.0,25.0,18.0
FH_42GPT_R588:1,Faulhaber,42GPT_R588:1,planetary,4,588.0,0.64,4e-07,0.74,1.0,25.0,18.0
FH_42GPT_R862:1,Faulhaber,42GPT_R862:1,planetary,4,862.0,0.64,4e-07,0.74,1.0,25.0,18.0
FH_32GPT_R3:1,Faulhaber,32GPT_R3:1,planetary,1,3.0,0.18,4.1e-07,0.93,1.0,1.3,1.0
FH_32GPT_R3.6:1,Faulhaber,32GPT_R3.6:1,planetary,1,3.6,0.18,2.74e-07,0.93,1.0,1.3,1.0
FH_32GPT_R4.5:1,Faulhaber,32GPT_R4.5:1,planetary,1,4.5,0.18,2.74e-07,0.93,1.0,1.3,1.0
