key,manufacturer,ID,type,stages,ratio,mass,inertia,efficiency,direction,max_int_torque,max_cont_torque
MM_110308,Maxon,110308,planetary,1,4,0.002,3e-10,0.9,1,0.005,0.005
MM_110309,Maxon,110309,planetary,2,16,0.002,3e-10,0.8,1,0.015,0.015
MM_110310,Maxon,110310,planetary,3,64,0.003,3e-10,0.7,1,0.054,0.054
MM_110311,Maxon,110311,planetary,4,256,0.003,4e-10,0.6,1,0.1,0.1
MM_110312,Maxon,110312,planetary,5,1024,0.004,3e-10,0.55,1,0.1,0.1
MM_110313,Maxon,110313,planetary,1,4.07142857142857,0.011,2.5e-09,0.91,1,0.3,0.2
MM_110314,Maxon,110314,planetary,2,16.5765306122449,0.014,1.5e-09,0.83,1,0.3,0.2
MM_110315,Maxon,110315,planetary,3,67.4901603498542,0.017,1.5e-09,0.75,1,0.45,0.3
MM_110316,Maxon,110316,planetary,4,274.781367138692,0.02,1.5e-09,0.69,1,0.45,0.3
MM_110317,Maxon,110317,planetary,5,1118.75270906468,0.023,1.5e-09,0.62,1,0.53,0.35
MM_110321,Maxon,110321,planetary,1,4.38461538461539,0.02,7e-09,0.9,1,0.15,0.1
MM_110322,Maxon,110322,planetary,2,19.2248520710059,0.023,5e-09,0.81,1,0.225,0.15
MM_110323,Maxon,110323,planetary,3,84.2935821574875,0.027,5e-09,0.73,1,0.3,0.2
MM_110324,Maxon,110324,planetary,4,369.59493715206,0.031,5e-09,0.65,1,0.375,0.25
MM_110325,Maxon,110325,planetary,5,1620.53164751288,0.035,5e-09,0.59,1,0.45,0.3
MM_110337,Maxon,110337,planetary,1,4.38461538461539,0.042,5e-08,0.84,1,0.8,0.5
MM_110338,Maxon,110338,planetary,2,19.2248520710059,0.055,4e-08,0.7,1,0.8,0.5
MM_110339,Maxon,110339,planetary,3,84.2935821574875,0.068,4e-08,0.59,1,1.2,0.8
MM_110340,Maxon,110340,planetary,4,369.59493715206,0.081,3e-08,0.49,1,1.6,1
MM_110341,Maxon,110341,planetary,5,1620.53164751288,0.094,3e-08,0.42,1,1.6,1
MM_110355,Maxon,110355,planetary,1,4.38461538461539,0.039,7e-09,0.9,1,0.15,0.1
MM_110356,Maxon,110356,planetary,2,19.2248520710059,0.048,5e-09,0.81,1,0.225,0.15
MM_110357,Maxon,110357,planetary,3,84.2935821574875,0.057,5e-09,0.73,1,0.3,0.2
MM_110358,Maxon,110358,planetary,4,369.59493715206,0.065,5e-09,0.65,1,0.375,0.25
MM_110359,Maxon,110359,planetary,5,1620.53164751288,0.073,5e-09,0.59,1,0.45,0.3
MM_110445,Maxon,110445,spur,3,15,0.04,1.7e-08,0.73,1,0.21,0.07
MM_110446,Maxon,110446,spur,3,30,0.04,1.4e-08,0.73,1,0.21,0.07
MM_110447,Maxon,110447,spur,4,60,0.045,1.2e-08,0.66,1,0.3,0.1
MM_110448,Maxon,110448,spur,4,100,0.045,1e-08,0.66,1,0.3,0.1
MM_110449,Maxon,110449,spur,5,200,0.05,1e-08,0.6,1,0.6,0.2
MM_110450,Maxon,110450,spur,6,500,0.055,1e-08,0.53,1,0.6,0.2
