key,manufacturer,ID,type,V,k_t,R,L,mass,inertia,omega_nl,I_nl,I_nom,max_int_torque,max_int_speed,max_cont_speed,max_cont_power,coulomb_friction,viscous_friction,Rth1,Rth2
MM_597974,Maxon,597974,BLDC,30,0.136,0.28,0.000369,0.98,0.00051,217.817090648892,0.493,10.5,Inf,523.598775598299,Inf,Inf,NaN,NaN,0.848,0.867
MM_606793,Maxon,606793,BLDC,24,0.068,0.119,0.000149,1.1,2.64e-05,349.763982099664,0.657,9.36,Inf,523.598775598299,Inf,Inf,NaN,NaN,0.53,4.02
MM_607930,Maxon,607930,BLDC,30,0.136,0.28,0.000369,0.96,0.000476,217.817090648892,0.475,8.73,Inf,523.598775598299,Inf,Inf,NaN,NaN,1.02,1.37
MM_607942,Maxon,607942,BLDC,24,0.0712,0.216,0.000232,0.62,0.000287,331.961623729321,0.658,9.44,Inf,523.598775598299,Inf,Inf,NaN,NaN,1.13,1.37
MM_607950,Maxon,607950,BLDC,24,0.0701,0.216,0.000232,0.63,0.000321,336.150413934108,0.696,12,Inf,523.598775598299,Inf,Inf,NaN,NaN,0.923,0.675
MM_614949,Maxon,614949,BLDC,24,0.0525,0.293,0.000279,0.36,8.32e-05,450.294947014537,0.497,9.28,Inf,628.318530717959,Inf,Inf,NaN,NaN,0.843,1.22
MM_625855,Maxon,625855,BLDC,24,0.0525,0.293,0.000279,0.35,8.35e-05,450.294947014537,0.493,5.14,Inf,628.318530717959,Inf,Inf,NaN,NaN,3.8,2.5
MM_625858,Maxon,625858,BLDC,24,0.0525,0.293,0.000279,0.35,8.1e-05,450.294947014537,0.497,7.25,Inf,628.318530717959,Inf,Inf,NaN,NaN,1.48,1.94
MM_634043,Maxon,634043,BLDC,48,0.115,0.24,0.000424,1.1,2.64e-05,415.737427825049,0.419,5.44,Inf,523.598775598299,Inf,Inf,NaN,NaN,0.53,4.02
MM_642221,Maxon,642221,BLDC,24,0.0525,0.293,0.000279,0.37,8.32e-05,450.294947014537,0.497,9.28,Inf,628.318530717959,Inf,Inf,NaN,NaN,0.843,1.22
MM_ECXZ06M1KF44N1IL1D436A,Maxon,ECXZ06M1KF44N1IL1D436A,BLDC,3,0.00037,0.766,5e-06,0.003,7.03e-10,7791.14978090269,0.149,1.24,Inf,10471.975511966,Inf,Inf,NaN,NaN,13.2,65.8
MM_ECXZ06M1KF44N1IL1D436B,Maxon,ECXZ06M1KF44N1IL1D436B,BLDC,3,0.00037,0.686,5e-06,0.003,7.03e-10,7822.56570743858,0.149,1.24,Inf,10471.975511966,Inf,Inf,NaN,NaN,13.2,65.8
MM_ECXZ06M1KF44N1IL1D523A,Maxon,ECXZ06M1KF44N1IL1D523A,BLDC,6,0.000882,3.49,3e-05,0.003,7.03e-10,6565.92864600267,0.0588,0.517,Inf,10471.975511966,Inf,Inf,NaN,NaN,13.2,65.8
MM_ECXZ06M1KF44N1IL1D523B,Maxon,ECXZ06M1KF44N1IL1D523B,BLDC,6,0.000882,3.41,3e-05,0.003,7.03e-10,6565.92864600267,0.0589,0.517,Inf,10471.975511966,Inf,Inf,NaN,NaN,13.2,65.8
MM_ECXZ06M1KF44N1IL1D591A,Maxon,ECXZ06M1KF44N1IL1D591A,BLDC,12,0.00175,12.4,0.000118,0.003,7.03e-10,6639.23247458643,0.0298,0.268,Inf,10471.975511966,Inf,Inf,NaN,NaN,13.2,65.8
MM_ECXZ06M1KF44N1IL1D591B,Maxon,ECXZ06M1KF44N1IL1D591B,BLDC,12,0.00175,12.3,0.000118,0.003,7.03e-10,6639.23247458643,0.0298,0.268,Inf,10471.975511966,Inf,Inf,NaN,NaN,13.2,65.8
MM_ECXZ06M1VF44N1IL1D564A,Maxon,ECXZ06M1VF44N1IL1D564A,BLDC,6,0.00121,8.72,6.5e-05,0.003,7.03e-10,4628.61317628896,0.0465,0.314,Inf,10471.975511966,Inf,Inf,NaN,NaN,16.8,67.1
